Datetime,Water_Usage,Switch_State
7344,54.68405584090414,Switch OFF
7345,45.86651418384662,Switch ON
7346,47.18019402833782,Switch OFF
7347,40.37866999766794,Switch ON
7348,44.6050917902479,No Change
7349,49.34259369553352,No Change
7350,88.26068487273211,No Change
7351,89.45121465681481,Switch OFF
7352,45.742818230924215,Switch ON
7353,46.390236583577305,No Change
7354,52.930386621447795,Switch OFF
7355,39.188951261619536,Switch ON
7356,42.75053765418239,Switch OFF
7357,39.62503937716724,Switch ON
7358,53.34357489995392,Switch OFF
7359,50.1420180037373,Switch ON
7360,59.41475360967111,No Change
7361,115.69759998676946,No Change
7362,121.04882787186605,Switch OFF
7363,119.63663783377325,No Change
7364,116.6352752532035,No Change
7365,115.22547518403175,No Change
7366,105.91085591699776,Switch ON
7367,122.27255727113982,Switch OFF
7368,36.968194624334174,Switch ON
7369,52.66158584964495,Switch OFF
7370,39.68484712552326,No Change
7371,37.89907700647007,No Change
7372,28.37274671938021,Switch ON
7373,48.703494272825864,No Change
7374,97.99687961947737,Switch OFF
7375,94.8624917204911,No Change
7376,44.53815037552911,No Change
7377,40.65775835370568,Switch ON
7378,44.832089882606574,No Change
7379,52.830643391120184,Switch OFF
7380,41.44506034113165,Switch ON
7381,59.13386884662074,Switch OFF
7382,49.07656307697849,No Change
7383,41.63117937664905,No Change
7384,39.62405917964098,Switch ON
7385,122.40998762945016,Switch OFF
7386,117.48226412100448,Switch ON
7387,124.01859995824219,No Change
7388,124.77706872668047,Switch OFF
7389,117.62473230623331,Switch ON
7390,117.63116306221845,Switch OFF
7391,112.94144957780408,No Change
7392,43.687816518627486,Switch ON
7393,64.90031652206635,Switch OFF
7394,47.172327185833275,Switch ON
7395,53.439313558186264,Switch OFF
7396,35.55175211910431,Switch ON
7397,37.18524725875238,No Change
7398,108.54410536462356,Switch OFF
7399,100.35975389287432,No Change
7400,48.35083242770908,Switch ON
7401,58.523636436326925,Switch OFF
7402,50.89194400842722,Switch ON
7403,56.07245537970539,Switch OFF
7404,53.529111116089865,Switch ON
7405,55.805376240099584,No Change
7406,57.30452149917106,Switch OFF
7407,53.92873820803854,Switch ON
7408,57.30127545755896,No Change
7409,114.22203954703312,Switch OFF
7410,114.19469046043645,Switch ON
7411,126.73179510364558,No Change
7412,133.6130761175806,No Change
7413,137.8575694886604,Switch OFF
7414,117.94362375508186,Switch ON
7415,123.03904584610864,Switch OFF
7416,33.12976311632862,Switch ON
7417,47.33633262068507,No Change
7418,59.43414128995721,Switch OFF
7419,53.05745297289653,No Change
7420,45.22433409896127,Switch ON
7421,48.16326765687393,No Change
7422,96.67362736820301,No Change
7423,102.72532507072566,Switch OFF
7424,47.888700748433905,Switch ON
7425,51.48130220094701,Switch OFF
7426,49.28004337710462,No Change
7427,45.72119540447056,Switch ON
7428,64.98701511401872,No Change
7429,74.14613851057025,No Change
7430,86.41959665564988,Switch OFF
7431,77.57837480653308,No Change
7432,68.48418878985967,Switch ON
7433,115.99393383379183,No Change
7434,118.54244108292852,Switch OFF
7435,116.05241465410353,Switch ON
7436,130.92809443513087,Switch OFF
7437,123.7727050022442,No Change
7438,110.20963742231817,Switch ON
7439,116.9688181675279,Switch OFF
7440,40.44980877908671,Switch ON
7441,42.196088801201796,Switch OFF
7442,40.61293252564348,Switch ON
7443,45.79688558900736,Switch OFF
7444,41.85791897139889,Switch ON
7445,49.645423346236214,No Change
7446,108.39346844795388,Switch OFF
7447,99.13756788367243,No Change
7448,49.22514185630069,No Change
7449,45.47236665963578,Switch ON
7450,52.46002228279566,No Change
7451,52.48667724430826,Switch OFF
7452,47.414944417955,No Change
7453,41.78757969160446,Switch ON
7454,42.9051285773786,No Change
7455,43.888626235082846,No Change
7456,53.32660733072141,No Change
7457,119.00044188020019,No Change
7458,127.01022864258915,Switch OFF
7459,122.3747908865673,Switch ON
7460,125.28546349542735,Switch OFF
7461,125.28041871570119,Switch ON
7462,129.54304080341137,Switch OFF
7463,117.96165089042506,No Change
7464,40.66764372805408,Switch ON
7465,44.50804755122675,No Change
7466,51.776829165680596,Switch OFF
7467,47.031862478408776,No Change
7468,38.82350429837855,Switch ON
7469,52.28896153572907,No Change
7470,109.3173460577099,Switch OFF
7471,105.66386171435718,No Change
7472,46.13606813697942,No Change
7473,42.7843007668392,Switch ON
7474,45.70107862217238,No Change
7475,51.97731047382675,Switch OFF
7476,46.634890636693335,Switch ON
7477,56.37919001307546,Switch OFF
7478,54.023743936698224,No Change
7479,45.8879766259071,Switch ON
7480,53.138056206389756,No Change
7481,128.1768999418294,Switch OFF
7482,124.91973599053739,Switch ON
7483,130.2682691859981,Switch OFF
7484,121.43873564435711,No Change
7485,117.40379209427569,Switch ON
7486,125.45834433096213,Switch OFF
7487,117.69410050329401,No Change
7488,45.58826564179007,Switch ON
7489,61.65604068219241,Switch OFF
7490,43.97184672529173,Switch ON
7491,51.16166473191525,Switch OFF
7492,44.21192079278151,No Change
7493,34.28175254414143,Switch ON
7494,100.31867726844605,No Change
7495,102.19582932983847,Switch OFF
7496,36.20335469361668,Switch ON
7497,49.47496643528773,Switch OFF
7498,45.81182218402721,Switch ON
7499,46.49250694529441,Switch OFF
7500,45.931088034653655,Switch ON
7501,55.21851505147291,Switch OFF
7502,42.01871215485923,Switch ON
7503,42.47306267624194,No Change
7504,43.422208806741175,No Change
7505,122.80324062290649,Switch OFF
7506,122.62856958307884,Switch ON
7507,127.88552227572765,Switch OFF
7508,125.12025880641491,No Change
7509,112.98130678444451,Switch ON
7510,135.26563505599086,Switch OFF
7511,129.23223534176083,No Change
7512,37.89788812321666,Switch ON
7513,41.16216564486287,Switch OFF
7514,37.120801241209065,Switch ON
7515,46.954920455452424,Switch OFF
7516,43.599499564253335,Switch ON
7517,46.596585836379774,No Change
7518,94.32808074463732,Switch OFF
7519,91.04189701514015,No Change
7520,37.72560916341123,No Change
7521,33.39467936073193,Switch ON
7522,48.74080258730647,Switch OFF
7523,37.737051369225696,Switch ON
7524,45.54778286027485,No Change
7525,46.17902751282079,Switch OFF
7526,39.52146988314599,Switch ON
7527,43.7779125045471,Switch OFF
7528,43.03277982182704,Switch ON
7529,112.58227167851047,No Change
7530,130.692299184315,Switch OFF
7531,126.00780244225442,Switch ON
7532,128.12007210685982,Switch OFF
7533,122.4231986929648,Switch ON
7534,127.2532576846725,No Change
7535,131.58611582011577,Switch OFF
7536,43.839431786567175,No Change
7537,39.93142041493806,Switch ON
7538,55.62638097515381,Switch OFF
7539,46.714603707239945,No Change
7540,45.17638318372924,Switch ON
7541,45.96240002999328,No Change
7542,111.11305945029468,Switch OFF
7543,100.588699603816,No Change
7544,34.788440876155335,Switch ON
7545,49.38452601414404,Switch OFF
7546,46.569963894417,No Change
7547,46.20691327770064,No Change
7548,45.70452783171952,Switch ON
7549,57.68542594189112,Switch OFF
7550,44.70582360244725,Switch ON
7551,51.632001216473796,Switch OFF
7552,41.35669298735701,Switch ON
7553,122.77209475136576,No Change
7554,123.49679660814165,Switch OFF
